Date,Price,Open,High,Low,Vol.,Change %
13/7/2025,"2,971.92","2,943.33","3,019.36","2,937.67",357.34K,1.00%
12/7/2025,"2,942.42","2,958.21","2,979.39","2,904.98",348.90K,-0.52%
11/7/2025,"2,957.85","2,951.40","3,038.89","2,916.51",907.98K,0.22%
10/7/2025,"2,951.28","2,768.75","2,999.39","2,756.06",950.79K,6.61%
9/7/2025,"2,768.34","2,615.25","2,792.95","2,590.34",686.17K,5.89%
8/7/2025,"2,614.47","2,542.29","2,627.15","2,523.98",370.80K,2.84%
7/7/2025,"2,542.30","2,570.79","2,589.29","2,517.86",315.71K,-1.10%
6/7/2025,"2,570.55","2,516.41","2,600.69","2,503.63",277.60K,2.15%
5/7/2025,"2,516.34","2,508.04","2,529.66","2,487.96",157.19K,0.33%
4/7/2025,"2,508.04","2,591.26","2,601.00","2,474.63",452.72K,-3.20%
3/7/2025,"2,591.01","2,571.27","2,633.70","2,557.31",504.90K,0.80%
2/7/2025,"2,570.42","2,405.00","2,618.24","2,382.19",634.89K,6.87%
1/7/2025,"2,405.22","2,485.46","2,500.00","2,389.61",352.09K,-3.27%
30/6/2025,"2,486.64","2,500.49","2,522.00","2,435.35",440.43K,-0.56%
29/6/2025,"2,500.67","2,435.62","2,522.78","2,414.06",284.27K,2.67%
28/6/2025,"2,435.61","2,423.20","2,447.75","2,406.31",156.02K,0.54%
27/6/2025,"2,422.64","2,415.32","2,462.87","2,389.02",381.29K,0.28%
26/6/2025,"2,415.80","2,418.59","2,520.24","2,394.33",463.70K,-0.11%
25/6/2025,"2,418.49","2,448.52","2,467.11","2,393.46",415.15K,-1.24%
24/6/2025,"2,448.81","2,413.23","2,479.15","2,377.17",516.64K,1.59%
23/6/2025,"2,410.40","2,226.21","2,431.37","2,189.67",744.47K,8.20%
22/6/2025,"2,227.70","2,305.00","2,312.99","2,115.47",840.16K,-2.97%
21/6/2025,"2,295.95","2,405.19","2,448.10","2,220.01",496.78K,-4.59%
20/6/2025,"2,406.50","2,521.31","2,568.69","2,377.26",632.03K,-4.55%
19/6/2025,"2,521.12","2,524.68","2,546.25","2,485.04",252.65K,-0.17%
18/6/2025,"2,525.38","2,510.87","2,545.62","2,468.26",504.68K,0.63%
17/6/2025,"2,509.51","2,543.89","2,616.80","2,455.90",716.52K,-1.16%
16/6/2025,"2,539.00","2,547.69","2,678.87","2,516.91",680.16K,-0.34%
15/6/2025,"2,547.61","2,531.64","2,557.71","2,493.11",299.71K,0.64%
14/6/2025,"2,531.39","2,573.15","2,574.15","2,491.20",331.41K,-1.84%
13/6/2025,"2,578.83","2,642.01","2,643.99","2,447.48",1.20M,-2.45%
12/6/2025,"2,643.65","2,771.72","2,784.47","2,621.69",699.47K,-4.63%
11/6/2025,"2,772.08","2,816.41","2,877.99","2,745.81",850.40K,-1.56%
10/6/2025,"2,815.90","2,679.90","2,825.91","2,657.34",1.14M,5.07%
9/6/2025,"2,680.14","2,509.29","2,693.53","2,477.82",568.69K,6.79%
8/6/2025,"2,509.83","2,524.63","2,545.71","2,492.10",266.47K,-0.59%
7/6/2025,"2,524.64","2,476.10","2,542.00","2,457.00",264.81K,1.99%
6/6/2025,"2,475.30","2,414.02","2,528.83","2,385.60",578.83K,2.54%
5/6/2025,"2,414.10","2,607.68","2,640.47","2,393.70",808.94K,-7.41%
4/6/2025,"2,607.32","2,592.99","2,675.29","2,583.82",502.48K,0.55%
3/6/2025,"2,593.10","2,607.74","2,651.67","2,580.98",454.40K,-0.53%
2/6/2025,"2,606.84","2,537.50","2,614.73","2,476.49",469.07K,2.73%
1/6/2025,"2,537.51","2,528.05","2,546.99","2,471.14",331.75K,0.37%
31/5/2025,"2,528.05","2,529.79","2,550.14","2,486.17",394.54K,-0.13%
30/5/2025,"2,531.39","2,631.96","2,648.70","2,509.43",763.05K,-3.79%
29/5/2025,"2,631.20","2,680.90","2,784.26","2,621.90",811.56K,-1.87%
28/5/2025,"2,681.31","2,660.31","2,688.69","2,609.20",560.07K,0.77%
27/5/2025,"2,660.80","2,563.99","2,711.82","2,512.14",798.44K,3.78%
26/5/2025,"2,563.89","2,550.55","2,596.90","2,529.79",362.97K,0.50%
25/5/2025,"2,551.23","2,529.41","2,554.00","2,467.82",360.05K,0.87%
24/5/2025,"2,529.31","2,525.28","2,575.67","2,515.51",257.38K,0.11%
23/5/2025,"2,526.50","2,664.50","2,732.05","2,503.08",971.43K,-5.19%
22/5/2025,"2,664.69","2,552.06","2,692.50","2,545.67",852.56K,4.44%
21/5/2025,"2,551.41","2,524.47","2,614.77","2,453.19",1.10M,1.09%
20/5/2025,"2,523.84","2,528.29","2,587.39","2,446.21",677.11K,-0.18%
19/5/2025,"2,528.30","2,499.90","2,543.32","2,352.50",862.05K,1.18%
18/5/2025,"2,498.89","2,475.71","2,585.11","2,341.52",810.06K,0.96%
17/5/2025,"2,475.08","2,536.10","2,536.58","2,449.76",494.71K,-2.45%
16/5/2025,"2,537.16","2,548.81","2,647.07","2,531.52",606.05K,-0.43%
15/5/2025,"2,548.24","2,609.74","2,644.71","2,480.46",768.85K,-2.36%
14/5/2025,"2,609.71","2,679.55","2,719.26","2,549.05",830.10K,-2.62%
13/5/2025,"2,680.04","2,495.06","2,734.25","2,418.52",1.03M,7.39%
12/5/2025,"2,495.68","2,514.58","2,621.10","2,413.49",1.07M,-0.78%
11/5/2025,"2,515.32","2,582.21","2,594.80","2,440.48",831.64K,-2.66%
10/5/2025,"2,583.93","2,345.31","2,597.67","2,321.31",979.44K,10.18%
9/5/2025,"2,345.27","2,207.14","2,486.01","2,185.36",1.67M,6.20%
8/5/2025,"2,208.38","1,811.00","2,225.00","1,809.04",1.47M,21.93%
7/5/2025,"1,811.20","1,817.51","1,849.10","1,788.84",456.15K,-0.30%
6/5/2025,"1,816.63","1,820.06","1,820.41","1,754.30",384.73K,-0.20%
5/5/2025,"1,820.31","1,808.87","1,831.98","1,783.48",342.15K,0.63%
4/5/2025,"1,808.86","1,833.52","1,849.67","1,803.79",238.26K,-1.37%
3/5/2025,"1,833.96","1,842.20","1,848.21","1,812.61",213.75K,-0.44%
2/5/2025,"1,842.03","1,838.11","1,870.04","1,813.43",410.68K,0.20%
1/5/2025,"1,838.38","1,793.62","1,872.79","1,792.52",537.21K,2.50%
30/4/2025,"1,793.58","1,798.06","1,816.40","1,736.20",473.56K,-0.27%
29/4/2025,"1,798.40","1,799.99","1,842.08","1,781.31",480.43K,-0.05%
28/4/2025,"1,799.28","1,791.28","1,826.46","1,748.47",587.26K,0.44%
27/4/2025,"1,791.45","1,820.94","1,854.61","1,785.04",340.34K,-1.61%
26/4/2025,"1,820.68","1,785.31","1,835.72","1,779.60",355.25K,2.03%
25/4/2025,"1,784.45","1,768.41","1,825.79","1,739.30",595.61K,0.84%
24/4/2025,"1,769.64","1,794.44","1,802.51","1,725.57",483.46K,-1.42%
23/4/2025,"1,795.08","1,756.90","1,831.20","1,745.56",887.61K,2.21%
22/4/2025,"1,756.24","1,579.15","1,766.55","1,545.19",1.10M,11.18%
21/4/2025,"1,579.57","1,587.96","1,655.87","1,566.22",691.49K,-0.49%
20/4/2025,"1,587.29","1,613.02","1,619.05","1,566.80",276.14K,-1.61%
19/4/2025,"1,613.31","1,588.88","1,627.61","1,585.12",223.08K,1.56%
18/4/2025,"1,588.60","1,583.48","1,600.63","1,573.75",200.41K,0.31%
17/4/2025,"1,583.63","1,576.71","1,616.11","1,563.75",449.87K,0.41%
16/4/2025,"1,577.15","1,586.97","1,612.02","1,538.58",611.39K,-0.73%
15/4/2025,"1,588.78","1,623.85","1,660.41","1,584.73",476.18K,-2.15%
14/4/2025,"1,623.77","1,597.21","1,690.52","1,596.08",645.93K,1.62%
13/4/2025,"1,597.88","1,645.19","1,648.45","1,566.74",580.14K,-2.81%
12/4/2025,"1,644.11","1,567.14","1,666.46","1,546.67",501.86K,4.93%
11/4/2025,"1,566.86","1,521.96","1,587.89","1,507.50",578.49K,2.94%
10/4/2025,"1,522.11","1,668.57","1,668.80","1,474.94",912.58K,-8.82%
9/4/2025,"1,669.39","1,474.20","1,685.55","1,388.21",1.97M,13.30%
8/4/2025,"1,473.39","1,552.05","1,618.54","1,450.48",891.85K,-5.13%
7/4/2025,"1,553.05","1,579.90","1,633.07","1,422.88",2.17M,-1.75%
6/4/2025,"1,580.69","1,807.13","1,816.34","1,538.52",979.85K,-12.47%
5/4/2025,"1,805.88","1,816.98","1,827.28","1,766.70",201.72K,-0.61%
4/4/2025,"1,817.04","1,816.02","1,835.44","1,760.63",572.74K,0.01%
3/4/2025,"1,816.85","1,795.40","1,843.96","1,752.64",508.07K,1.18%
2/4/2025,"1,795.68","1,904.76","1,953.71","1,783.00",750.79K,-5.74%
1/4/2025,"1,904.97","1,822.43","1,925.76","1,818.01",453.00K,4.56%
31/3/2025,"1,821.92","1,808.07","1,851.52","1,778.43",497.91K,0.83%
30/3/2025,"1,806.92","1,828.13","1,849.00","1,773.34",327.81K,-1.14%
29/3/2025,"1,827.69","1,896.90","1,912.80","1,801.44",409.77K,-3.64%
28/3/2025,"1,896.64","2,003.78","2,015.92","1,864.54",626.13K,-5.34%
27/3/2025,"2,003.63","2,009.52","2,036.77","1,988.00",360.62K,-0.29%
26/3/2025,"2,009.53","2,066.15","2,078.20","1,982.57",428.97K,-2.74%
25/3/2025,"2,066.15","2,080.51","2,094.95","2,038.51",328.82K,-0.72%
24/3/2025,"2,081.20","2,003.90","2,101.30","1,978.43",477.92K,3.75%
23/3/2025,"2,005.93","1,980.28","2,019.69","1,977.01",268.66K,1.27%
22/3/2025,"1,980.78","1,964.60","2,005.80","1,964.60",170.78K,0.77%
21/3/2025,"1,965.74","1,983.23","1,996.72","1,938.49",262.65K,-0.92%
20/3/2025,"1,983.90","2,057.25","2,066.34","1,952.86",401.51K,-3.51%
19/3/2025,"2,056.05","1,932.30","2,069.40","1,927.70",691.81K,6.44%
18/3/2025,"1,931.72","1,926.90","1,934.56","1,873.21",332.89K,0.28%
17/3/2025,"1,926.30","1,887.19","1,951.98","1,880.50",334.85K,2.08%
16/3/2025,"1,887.01","1,937.63","1,940.61","1,863.35",324.77K,-2.59%
15/3/2025,"1,937.17","1,912.18","1,954.52","1,904.29",209.55K,1.34%
14/3/2025,"1,911.64","1,863.70","1,945.24","1,861.62",375.82K,2.52%
13/3/2025,"1,864.59","1,908.82","1,916.32","1,823.65",569.53K,-2.29%
12/3/2025,"1,908.20","1,922.52","1,955.55","1,833.66",788.75K,-0.78%
11/3/2025,"1,923.24","1,865.47","1,961.16","1,767.05",1.17M,3.12%
10/3/2025,"1,865.02","2,021.83","2,144.69","1,820.52",1.25M,-7.66%
9/3/2025,"2,019.82","2,202.81","2,211.44","1,993.90",601.66K,-8.34%
8/3/2025,"2,203.58","2,141.03","2,232.27","2,106.79",328.79K,2.90%
7/3/2025,"2,141.53","2,202.20","2,248.72","2,105.40",782.36K,-2.76%
6/3/2025,"2,202.38","2,241.12","2,319.80","2,177.63",596.91K,-1.75%
5/3/2025,"2,241.60","2,170.49","2,272.71","2,156.19",687.13K,3.29%
4/3/2025,"2,170.20","2,147.63","2,221.71","2,001.16",1.26M,0.99%
3/3/2025,"2,149.01","2,522.92","2,522.92","2,099.58",1.11M,-14.66%
2/3/2025,"2,518.10","2,217.39","2,546.36","2,179.80",1.27M,13.56%
1/3/2025,"2,217.41","2,237.63","2,280.29","2,144.56",446.43K,-0.87%
28/2/2025,"2,236.81","2,307.85","2,312.62","2,078.11",1.29M,-3.05%
27/2/2025,"2,307.24","2,339.60","2,379.91","2,232.23",637.64K,-1.31%
26/2/2025,"2,337.95","2,495.70","2,507.10","2,258.27",862.99K,-6.33%
25/2/2025,"2,495.98","2,512.48","2,533.08","2,339.50",1.32M,-0.58%
24/2/2025,"2,510.59","2,820.60","2,838.20","2,492.10",876.45K,-10.96%
23/2/2025,"2,819.72","2,763.48","2,837.86","2,745.94",610.90K,2.04%
22/2/2025,"2,763.22","2,661.00","2,795.30","2,654.73",445.09K,3.79%
21/2/2025,"2,662.32","2,739.90","2,841.54","2,618.86",890.32K,-2.77%
20/2/2025,"2,738.04","2,715.02","2,767.27","2,707.47",336.75K,0.81%
19/2/2025,"2,716.09","2,671.99","2,735.97","2,657.11",326.46K,1.67%
18/2/2025,"2,671.35","2,744.60","2,754.40","2,610.55",604.53K,-2.63%
17/2/2025,"2,743.42","2,659.58","2,845.98","2,647.40",639.70K,3.02%
16/2/2025,"2,662.87","2,692.47","2,724.25","2,656.70",191.22K,-1.12%
15/2/2025,"2,693.04","2,725.48","2,738.09","2,675.49",202.98K,-1.19%
14/2/2025,"2,725.51","2,676.18","2,789.35","2,665.34",419.95K,1.88%
13/2/2025,"2,675.19","2,736.91","2,756.22","2,617.53",443.83K,-2.29%
12/2/2025,"2,737.87","2,602.21","2,789.59","2,553.51",646.29K,5.18%
11/2/2025,"2,603.09","2,665.03","2,724.48","2,580.17",484.19K,-2.18%
10/2/2025,"2,660.98","2,630.00","2,691.51","2,563.31",398.17K,1.25%
9/2/2025,"2,628.13","2,635.11","2,681.92","2,535.09",387.01K,-0.13%
8/2/2025,"2,631.51","2,619.00","2,666.99","2,590.01",379.74K,0.34%
7/2/2025,"2,622.68","2,685.50","2,797.10","2,564.78",695.50K,-2.44%
6/2/2025,"2,688.20","2,791.74","2,854.18","2,666.73",719.52K,-3.50%
5/2/2025,"2,785.58","2,729.39","2,822.49","2,702.48",686.56K,1.97%
4/2/2025,"2,731.75","2,878.99","2,885.00","2,635.91",1.26M,-5.21%
3/2/2025,"2,882.03","2,868.73","2,904.40","2,262.30",2.81M,0.42%
2/2/2025,"2,869.98","3,116.31","3,163.00","2,789.60",1.05M,-7.99%
1/2/2025,"3,119.17","3,299.19","3,331.32","3,103.00",354.41K,-5.44%
31/1/2025,"3,298.55","3,247.35","3,434.05","3,214.11",648.66K,1.58%
30/1/2025,"3,247.20","3,113.99","3,281.85","3,093.25",350.68K,4.30%
29/1/2025,"3,113.21","3,078.87","3,171.08","3,055.50",409.86K,1.15%
28/1/2025,"3,077.71","3,182.78","3,223.00","3,041.03",350.96K,-3.19%
27/1/2025,"3,179.10","3,225.02","3,252.94","3,030.82",755.07K,-1.70%
26/1/2025,"3,234.15","3,320.34","3,359.10","3,234.01",272.06K,-2.53%
25/1/2025,"3,318.15","3,303.52","3,350.20","3,272.36",208.73K,0.22%
24/1/2025,"3,311.03","3,342.12","3,423.80","3,276.29",451.53K,-0.82%
23/1/2025,"3,338.40","3,239.00","3,344.32","3,189.50",605.53K,2.95%
22/1/2025,"3,242.60","3,327.00","3,365.61","3,223.06",349.24K,-2.55%
21/1/2025,"3,327.54","3,285.88","3,364.92","3,204.61",548.78K,1.37%
20/1/2025,"3,282.69","3,210.15","3,449.60","3,150.69",1.16M,2.05%
19/1/2025,"3,216.85","3,304.78","3,445.63","3,133.42",1.34M,-2.78%
18/1/2025,"3,308.70","3,476.87","3,493.50","3,233.79",634.34K,-4.73%
17/1/2025,"3,472.90","3,308.05","3,525.21","3,308.05",518.50K,5.02%
16/1/2025,"3,306.98","3,451.70","3,459.99","3,267.32",471.26K,-4.17%
15/1/2025,"3,450.81","3,227.30","3,469.62","3,187.63",464.16K,7.04%
14/1/2025,"3,223.95","3,136.91","3,254.06","3,127.17",374.32K,2.75%
13/1/2025,"3,137.60","3,267.45","3,337.89","2,943.46",845.96K,-3.97%
12/1/2025,"3,267.30","3,283.78","3,299.57","3,225.00",164.80K,-0.47%
11/1/2025,"3,282.83","3,266.31","3,319.32","3,218.80",151.68K,0.48%
10/1/2025,"3,267.04","3,223.61","3,320.99","3,197.91",454.18K,1.52%
9/1/2025,"3,218.05","3,325.53","3,356.66","3,160.60",501.80K,-3.28%
8/1/2025,"3,327.01","3,385.48","3,414.85","3,218.30",584.81K,-1.58%
7/1/2025,"3,380.44","3,684.00","3,700.67","3,358.95",541.55K,-8.33%
6/1/2025,"3,687.73","3,638.58","3,742.05","3,611.01",329.63K,1.45%
5/1/2025,"3,634.99","3,656.88","3,672.24","3,596.53",155.69K,-0.58%
4/1/2025,"3,656.02","3,609.51","3,669.59","3,575.02",229.16K,1.31%
3/1/2025,"3,608.78","3,455.23","3,626.00","3,424.79",334.01K,4.45%
2/1/2025,"3,455.13","3,360.60","3,494.62","3,355.52",338.64K,2.83%
1/1/2025,"3,360.04","3,336.14","3,373.00","3,315.72",190.21K,0.68%
31/12/2024,"3,337.43","3,361.70","3,449.15","3,317.12",303.12K,-0.71%
30/12/2024,"3,361.41","3,354.01","3,437.12","3,305.57",420.76K,0.17%
29/12/2024,"3,355.67","3,406.53","3,412.40","3,327.25",156.22K,-1.44%
28/12/2024,"3,404.65","3,333.87","3,427.77","3,322.30",175.99K,2.11%
27/12/2024,"3,334.20","3,334.42","3,439.10","3,308.68",342.63K,-0.05%
26/12/2024,"3,335.92","3,497.20","3,512.64","3,304.88",310.14K,-4.60%
25/12/2024,"3,496.59","3,490.78","3,546.50","3,442.66",219.93K,0.09%
24/12/2024,"3,493.29","3,420.03","3,539.52","3,359.78",315.48K,2.09%
23/12/2024,"3,421.92","3,282.64","3,463.52","3,220.24",488.20K,4.28%
22/12/2024,"3,281.56","3,337.88","3,401.89","3,223.32",361.96K,-1.71%
21/12/2024,"3,338.56","3,470.50","3,555.18","3,294.13",475.29K,-3.90%
20/12/2024,"3,474.20","3,418.72","3,496.32","3,103.74",1.33M,1.62%
19/12/2024,"3,418.88","3,632.02","3,719.54","3,337.17",1.08M,-5.76%
18/12/2024,"3,627.80","3,894.85","3,902.36","3,620.60",722.05K,-6.81%
17/12/2024,"3,892.80","3,987.61","4,040.79","3,851.36",450.66K,-2.36%
16/12/2024,"3,987.04","3,960.00","4,102.92","3,885.99",673.41K,0.68%
15/12/2024,"3,960.00","3,867.39","3,973.52","3,832.00",253.82K,2.29%
14/12/2024,"3,871.19","3,909.37","3,942.99","3,828.23",265.57K,-0.91%
13/12/2024,"3,906.81","3,881.69","3,966.55","3,853.79",387.76K,0.65%
12/12/2024,"3,881.61","3,831.81","3,985.39","3,797.60",572.14K,1.31%
11/12/2024,"3,831.49","3,630.79","3,848.09","3,564.80",461.81K,5.58%
10/12/2024,"3,629.00","3,711.63","3,778.62","3,521.81",942.26K,-2.42%
9/12/2024,"3,719.10","4,005.00","4,005.00","3,550.50",939.65K,-7.09%
8/12/2024,"4,002.82","3,998.99","4,015.19","3,924.72",251.18K,0.17%
7/12/2024,"3,996.22","4,000.00","4,024.00","3,969.34",283.95K,-0.07%
6/12/2024,"3,998.87","3,789.68","4,084.99","3,780.60",803.85K,5.65%
5/12/2024,"3,785.10","3,837.01","3,950.20","3,696.01",946.48K,-1.33%
4/12/2024,"3,836.01","3,617.68","3,885.59","3,616.20",968.74K,6.11%
3/12/2024,"3,615.01","3,643.07","3,669.34","3,510.60",678.40K,-0.78%
2/12/2024,"3,643.49","3,712.99","3,756.40","3,561.78",737.15K,-1.73%
1/12/2024,"3,707.80","3,703.60","3,743.82","3,660.79",429.06K,0.14%
30/11/2024,"3,702.78","3,591.73","3,733.17","3,573.00",503.68K,3.08%
29/11/2024,"3,592.04","3,582.35","3,642.94","3,538.99",425.50K,0.38%
28/11/2024,"3,578.34","3,653.20","3,661.31","3,530.70",561.02K,-2.06%
27/11/2024,"3,653.79","3,323.85","3,684.66","3,303.79",754.03K,9.84%
26/11/2024,"3,326.42","3,417.90","3,460.29","3,254.47",672.46K,-2.51%
25/11/2024,"3,412.00","3,360.57","3,544.64","3,301.61",949.33K,1.50%
24/11/2024,"3,361.56","3,392.05","3,448.61","3,285.33",479.05K,-0.96%
23/11/2024,"3,394.01","3,327.77","3,495.03","3,317.00",721.09K,1.99%
22/11/2024,"3,327.78","3,355.36","3,424.45","3,261.15",603.25K,-0.85%
21/11/2024,"3,356.41","3,069.96","3,386.47","3,034.34",974.88K,9.34%
20/11/2024,"3,069.70","3,106.85","3,158.30","3,031.00",503.59K,-1.17%
19/11/2024,"3,105.96","3,213.01","3,219.69","3,066.31",500.17K,-3.17%
18/11/2024,"3,207.50","3,072.60","3,220.60","3,052.17",640.63K,4.30%
17/11/2024,"3,075.35","3,133.27","3,160.09","3,037.37",449.86K,-1.81%
16/11/2024,"3,132.01","3,089.13","3,215.95","3,072.91",423.61K,1.38%
15/11/2024,"3,089.44","3,056.62","3,128.50","3,015.75",519.69K,1.03%
14/11/2024,"3,058.05","3,188.35","3,238.40","3,038.57",605.72K,-4.05%
13/11/2024,"3,187.00","3,244.60","3,326.57","3,117.82",919.70K,-1.70%
12/11/2024,"3,242.21","3,374.16","3,440.00","3,209.12",973.09K,-3.85%
11/11/2024,"3,372.20","3,182.99","3,384.62","3,107.60",1.00M,5.84%
10/11/2024,"3,186.01","3,126.21","3,247.62","3,076.65",865.54K,1.86%
9/11/2024,"3,127.73","2,961.31","3,153.35","2,954.56",526.42K,5.61%
8/11/2024,"2,961.67","2,896.11","2,981.55","2,887.19",568.87K,2.33%
7/11/2024,"2,894.11","2,719.39","2,914.90","2,700.01",730.98K,6.33%
6/11/2024,"2,721.86","2,422.49","2,740.39","2,422.02",1.00M,12.36%
5/11/2024,"2,422.47","2,397.30","2,478.69","2,380.75",331.52K,0.98%
4/11/2024,"2,398.93","2,457.01","2,490.15","2,362.88",306.32K,-2.39%
3/11/2024,"2,457.72","2,494.21","2,496.34","2,411.71",276.13K,-1.39%
2/11/2024,"2,492.40","2,512.33","2,523.45","2,472.09",145.88K,-0.78%
1/11/2024,"2,511.92","2,518.44","2,584.16","2,471.50",430.21K,-0.29%
31/10/2024,"2,519.13","2,659.49","2,668.37","2,506.61",403.42K,-5.25%
30/10/2024,"2,658.58","2,638.79","2,719.91","2,600.60",460.63K,0.76%
29/10/2024,"2,638.60","2,567.90","2,679.57","2,561.31",451.87K,2.77%
28/10/2024,"2,567.41","2,507.81","2,587.60","2,473.10",360.63K,2.40%
27/10/2024,"2,507.34","2,482.51","2,525.39","2,465.70",137.26K,1.00%
26/10/2024,"2,482.50","2,445.47","2,506.42","2,430.73",249.60K,1.69%
25/10/2024,"2,441.15","2,537.60","2,564.09","2,387.00",514.66K,-3.73%
24/10/2024,"2,535.82","2,524.30","2,561.81","2,509.01",290.85K,0.44%
23/10/2024,"2,524.60","2,625.55","2,625.55","2,463.69",352.65K,-3.75%
22/10/2024,"2,622.94","2,666.70","2,671.34","2,607.57",265.74K,-1.64%
21/10/2024,"2,666.71","2,747.03","2,766.09","2,656.61",310.72K,-2.93%
20/10/2024,"2,747.32","2,648.90","2,757.57","2,635.79",257.07K,3.78%
19/10/2024,"2,647.34","2,641.95","2,662.61","2,631.20",105.24K,0.21%
18/10/2024,"2,641.71","2,603.60","2,675.23","2,596.72",292.46K,1.39%
17/10/2024,"2,605.59","2,613.99","2,647.10","2,578.04",221.62K,-0.21%
16/10/2024,"2,611.11","2,607.66","2,645.39","2,589.74",260.32K,0.13%
15/10/2024,"2,607.79","2,631.24","2,681.64","2,540.19",416.27K,-0.87%
14/10/2024,"2,630.59","2,469.09","2,651.31","2,444.56",435.92K,6.55%
13/10/2024,"2,468.92","2,477.54","2,484.10","2,437.40",120.05K,-0.30%
12/10/2024,"2,476.44","2,438.95","2,489.50","2,434.36",139.64K,1.64%
11/10/2024,"2,436.54","2,385.11","2,470.58","2,382.24",235.23K,2.14%
10/10/2024,"2,385.48","2,370.84","2,417.71","2,333.01",257.91K,0.65%
9/10/2024,"2,370.02","2,441.59","2,472.00","2,355.19",242.07K,-2.90%
8/10/2024,"2,440.89","2,422.71","2,461.83","2,403.23",201.37K,0.75%
7/10/2024,"2,422.65","2,440.06","2,520.01","2,407.01",300.39K,-0.72%
6/10/2024,"2,440.21","2,415.46","2,455.87","2,407.13",105.77K,1.04%
5/10/2024,"2,415.00","2,414.41","2,427.29","2,390.06",103.73K,0.02%
4/10/2024,"2,414.41","2,349.91","2,440.70","2,339.92",239.39K,2.76%
3/10/2024,"2,349.61","2,364.11","2,402.61","2,311.65",314.64K,-0.68%
2/10/2024,"2,365.60","2,446.37","2,498.64","2,355.11",317.49K,-3.43%
1/10/2024,"2,449.59","2,602.23","2,656.69","2,422.10",502.87K,-5.91%
30/9/2024,"2,603.52","2,658.21","2,661.60","2,579.29",282.42K,-2.04%
29/9/2024,"2,657.61","2,676.34","2,683.69","2,634.65",160.55K,-0.68%
28/9/2024,"2,675.70","2,694.87","2,703.75","2,651.37",137.25K,-0.70%
27/9/2024,"2,694.48","2,631.66","2,726.62","2,615.92",281.90K,2.37%
26/9/2024,"2,632.01","2,579.01","2,664.98","2,560.45",278.65K,2.00%
25/9/2024,"2,580.31","2,652.87","2,672.00","2,557.87",220.35K,-2.72%
24/9/2024,"2,652.37","2,648.16","2,669.17","2,592.99",288.58K,0.18%
23/9/2024,"2,647.60","2,579.79","2,701.54","2,544.89",333.27K,2.58%
22/9/2024,"2,580.99","2,613.27","2,631.28","2,527.75",214.27K,-1.23%
21/9/2024,"2,613.15","2,562.48","2,619.74","2,530.09",154.80K,2.02%
20/9/2024,"2,561.40","2,466.36","2,570.48","2,438.99",340.75K,3.93%
19/9/2024,"2,464.47","2,375.00","2,491.51","2,373.31",326.81K,3.90%
